Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Waiheke Local Board Area","School bus","Total people - age group","Total people - sex","2018",177,
"Waiheke Local Board Area","Public bus","Total people - age group","Total people - sex","2018",60,
"Waiheke Local Board Area","Train","Total people - age group","Total people - sex","2018",9,
"Waiheke Local Board Area","Ferry","Total people - age group","Total people - sex","2018",255,
"Waiheke Local Board Area","Other","Total people - age group","Total people - sex","2018",15,
"Waitemata Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",22002,
"Waitemata Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1035,
"Waitemata Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1452,
"Waitemata Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",2424,
"Waitemata Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",498,
"Waitemata Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",12030,
"Waitemata Local Board Area","School bus","Total people - age group","Total people - sex","2018",780,
"Waitemata Local Board Area","Public bus","Total people - age group","Total people - sex","2018",3126,
"Waitemata Local Board Area","Train","Total people - age group","Total people - sex","2018",390,
"Waitemata Local Board Area","Ferry","Total people - age group","Total people - sex","2018",15,
"Waitemata Local Board Area","Other","Total people - age group","Total people - sex","2018",255,
"Whau Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",19335,
"Whau Local Board Area","Study at home","Total people - age group","Total people - sex","2018",642,
"Whau Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2358,
"Whau Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",7614,
"Whau Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",201,
"Whau Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3705,
"Whau Local Board Area","School bus","Total people - age group","Total people - sex","2018",543,
"Whau Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2817,
"Whau Local Board Area","Train","Total people - age group","Total people - sex","2018",1191,
"Whau Local Board Area","Ferry","Total people - age group","Total people - sex","2018",0,
"Whau Local Board Area","Other","Total people - age group","Total people - sex","2018",258,
"Albert-Eden Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",26751,
"Albert-Eden Local Board Area","Study at home","Total people - age group","Total people - sex","2018",921,
"Albert-Eden Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2763,
"Albert-Eden Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",6528,
"Albert-Eden Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",993,
"Albert-Eden Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",7596,
"Albert-Eden Local Board Area","School bus","Total people - age group","Total people - sex","2018",720,
"Albert-Eden Local Board Area","Public bus","Total people - age group","Total people - sex","2018",5982,
"Albert-Eden Local Board Area","Train","Total people - age group","Total people - sex","2018",831,
"Albert-Eden Local Board Area","Ferry","Total people - age group","Total people - sex","2018",3,
"Albert-Eden Local Board Area","Other","Total people - age group","Total people - sex","2018",417,
"Puketapapa Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",14607,
"Puketapapa Local Board Area","Study at home","Total people - age group","Total people - sex","2018",462,
"Orakei Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",21726,
"Orakei Local Board Area","Study at home","Total people - age group","Total people - sex","2018",777,
"Orakei Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2340,
"Orakei Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",7896,
"Orakei Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",351,
"Orakei Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",4383,
"Orakei Local Board Area","School bus","Total people - age group","Total people - sex","2018",1959,
"Orakei Local Board Area","Public bus","Total people - age group","Total people - sex","2018",3033,
"Orakei Local Board Area","Train","Total people - age group","Total people - sex","2018",759,
"Orakei Local Board Area","Ferry","Total people - age group","Total people - sex","2018",6,
"Orakei Local Board Area","Other","Total people - age group","Total people - sex","2018",222,
"Maungakiekie-Tamaki Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",18168,
"Maungakiekie-Tamaki Local Board Area","Study at home","Total people - age group","Total people - sex","2018",675,
"Maungakiekie-Tamaki Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2160,
"Maungakiekie-Tamaki Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",7227,
"Maungakiekie-Tamaki Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",174,
"Maungakiekie-Tamaki Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3324,
"Maungakiekie-Tamaki Local Board Area","School bus","Total people - age group","Total people - sex","2018",720,
"Maungakiekie-Tamaki Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2655,
"Maungakiekie-Tamaki Local Board Area","Train","Total people - age group","Total people - sex","2018",969,
"Maungakiekie-Tamaki Local Board Area","Ferry","Total people - age group","Total people - sex","2018",6,
"Maungakiekie-Tamaki Local Board Area","Other","Total people - age group","Total people - sex","2018",252,
"Howick Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",36564,
"Howick Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1263,
"Howick Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",4803,
"Howick Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",14469,
"Howick Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",372,
"Howick Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",8709,
